Años,1r trimestre,2º trimestre,3º trimestre,4º trimestre
3. Sants-Montjuïc,3.794,3.727,3.773,3.621
4. Les Corts,5.096,5.071,4.954,4.896
5. Sarrià-Sant Gervasi,5.231,5.340,5.323,5.351
6. Gràcia,4.379,4.521,4.393,4.346
7. Horta-Guinardó,3.079,3.053,3.021,3.092
8. Nou Barris,2.309,2.358,2.458,2.491
9. Sant Andreu,3.014,2.968,3.025,2.926
10. Sant Martí,4.029,4.179,4.104,4.214
,,,,
,,,,
2018,,,,
BARCELONA,4.154,4.245,4.279,4.219
1. Ciutat Vella,4.466,4.447,4.482,4.364
2. Eixample,4.733,4.842,4.922,4.760
3. Sants-Montjuïc,3.630,3.651,3.626,3.620
4. Les Corts,5.133,5.012,4.832,4.802
5. Sarrià-Sant Gervasi,5.235,5.280,5.426,5.402
6. Gràcia,4.267,4.505,4.431,4.469
7. Horta-Guinardó,3.156,3.236,3.187,3.197
8. Nou Barris,2.351,2.423,2.500,2.506
9. Sant Andreu,3.070,3.162,3.336,3.262
10. Sant Martí,3.851,3.903,3.895,3.862
2019,,,,
BARCELONA,4.217,4.206,4.205,4.115
1. Ciutat Vella,4.318,4.393,4.412,4.320
2. Eixample,4.777,4.792,4.785,4.632
3. Sants-Montjuïc,3.680,3.677,3.568,3.539
4. Les Corts,4.852,4.837,4.782,4.763
5. Sarrià-Sant Gervasi,5.437,5.416,5.388,5.362
6. Gràcia,4.409,4.229,4.283,4.217
7. Horta-Guinardó,3.200,3.163,3.080,3.080
8. Nou Barris,2.482,2.574,2.563,2.591
9. Sant Andreu,3.171,3.297,3.248,3.261
10. Sant Martí,3.904,3.794,3.847,3.791
2020,,,,
BARCELONA,4.111,4.163,4.083,4.009
1. Ciutat Vella,4.297,4.338,4.302,4.237
2. Eixample,4.693,4.749,4.638,4.492
3. Sants-Montjuïc,3.552,3.493,3.389,3.438
4. Les Corts,4.981,5.164,5.130,4.994
5. Sarrià-Sant Gervasi,5.270,5.321,5.181,5.133
6. Gràcia,4.185,4.189,4.126,4.186
7. Horta-Guinardó,3.205,3.206,3.231,3.147
8. Nou Barris,2.551,2.487,2.453,2.536
9. Sant Andreu,3.214,3.195,3.170,3.161
10. Sant Martí,3.697,3.687,3.690,3.541
2021,,,,
BARCELONA,4.001,3.988,3.925,3.932
1. Ciutat Vella,4.204,4.144,4.133,4.001
2. Eixample,4.448,4.497,4.447,4.538
3. Sants-Montjuïc,3.422,3.341,3.359,3.373
4. Les Corts,4.933,4.755,4.628,4.775
5. Sarrià-Sant Gervasi,5.239,5.237,5.207,5.233
6. Gràcia,4.128,4.127,4.194,4.277
7. Horta-Guinardó,3.069,3.096,3.010,3.045
8. Nou Barris,2.510,2.422,2.425,2.399
9. Sant Andreu,3.068,3.111,3.080,3.043
10. Sant Martí,3.660,3.719,3.629,3.563
