NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Metro i línies urbanes FGC,2.168769,41.399925,Verdaguer (Passeig Sant Joan)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.118107,41.385621,Palau Reial (Facultat de Ciències)-,Les Corts,la Maternitat i Sant Ramon
Metro i línies urbanes FGC,2.173585,41.380953,Liceu (La Rambla / Teatre Liceu)-,Ciutat Vella,el Barri Gòtic
Ferrocarrils Generalitat (FGC),2.137173,41.410227,FGC - AVINGUDA DEL TIBIDABO-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
Ferrocarrils Generalitat (FGC),2.142617,41.403596,FGC - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Metro i línies urbanes FGC,2.174015,41.41599,METRO (L4) - Guinardó | Hospital de Sant Pau-,Horta-Guinardó,el Guinardó
Metro i línies urbanes FGC,2.166408,41.412405,METRO (L4) - Alfons X-,Horta-Guinardó,el Baix Guinardó
Metro i línies urbanes FGC,2.174675,41.460836,METRO (L11) - Ciutat Meridiana-,Nou Barris,Ciutat Meridiana
Metro i línies urbanes FGC,2.16431,41.385843,METRO (L1) - Universitat-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.168086,41.400393,METRO (L4) - Verdaguer-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.135502,41.397638,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Metro i línies urbanes FGC,2.158906,41.394274,Diagonal (Rosselló / FGC)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.167342,41.430599,Vilapicina (Canfranc)-,Nou Barris,el Turó de la Peira
Metro i línies urbanes FGC,2.160976,41.430139,Horta (Plaça Eivissa)-,Horta-Guinardó,Horta
Metro i línies urbanes FGC,2.181739,41.448687,Trinitat Nova (Aiguablava)-,Nou Barris,la Trinitat Nova
Metro i línies urbanes FGC,2.126533,41.388322,Maria Cristina (Capità Arenas)-,Les Corts,Pedralbes
Metro i línies urbanes FGC,2.165214,41.441723,Canyelles (García Lorca)-,Nou Barris,Canyelles
Metro i línies urbanes FGC,2.141831,41.35619,METRO (L10S) - Foc-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.141018,41.381626,METRO (L3) - Sants Estació-,Sants-Montjuïc,Sants
RENFE,2.169312,41.387546,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
RENFE,2.188597,41.409995,RENFE - CLOT-,Sant Martí,el Clot
RENFE,2.185449,41.384232,RENFE - DE FRANÇA-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
RENFE,2.183101,41.430862,RENFE - SANT ANDREU ARENAL-,Sant Andreu,Sant Andreu
Tramvia,2.203312,41.40744,TRAMVIA (T4) - FLUVIÀ-,Sant Martí,Provençals del Poblenou
RENFE,2.165256,41.39187,RENFE - PASSEIG DE GRÀCIA-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.151107,41.388636,METRO (L5) - Hospital Clínic-,Eixample,l'Antiga Esquerra de l'Eixample
Metro i línies urbanes FGC,2.155125,41.424478,METRO (L5) - El Carmel-,Horta-Guinardó,el Carmel
Metro i línies urbanes FGC,2.176042,41.410781,METRO (L5) - Sant Pau | Dos de Maig-,Eixample,la Sagrada Família
Metro i línies urbanes FGC,2.186608,41.421324,METRO (L5) - La Sagrera-,Sant Andreu,la Sagrera
Metro i línies urbanes FGC,2.1852,41.451289,Casa de l'Aigua (Aiguablava)-,Nou Barris,la Trinitat Nova
Metro i línies urbanes FGC,2.191044,41.437482,Sant Andreu (Joan Torras)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.16764,41.388952,Passeig de Gràcia (Rbla. Catalunya)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.187144,41.421794,La Sagrera (Meridiana | Hondures)-,Sant Andreu,la Sagrera
Metro i línies urbanes FGC,2.168159,41.375117,Paral·lel (Ronda Sant Pau)-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.148451,41.435372,Mundet (Salesians)-,Horta-Guinardó,la Vall d'Hebron
Metro i línies urbanes FGC,2.154421,41.378611,Rocafort (Rocafort / Sepúlveda)-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.169671,41.388085,Catalunya (Passeig de Gràcia)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.175021,41.389956,Urquinaona (Bruc)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.18713,41.395239,Marina (Almogàvers)-,Sant Martí,el Parc i la Llacuna del Poblenou
Metro i línies urbanes FGC,2.187159,41.416905,Navas (Biscaia)-,Sant Andreu,Navas
Ferrocarrils Generalitat (FGC),2.151636,41.399679,FGC - GRÀCIA (C. de Marià Cubí)-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.124523,41.39935,FGC - SARRIÀ-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.125789,41.398544,FGC - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
Metro i línies urbanes FGC,2.184372,41.449449,Trinitat Nova (Palamós)-,Nou Barris,la Trinitat Nova
Metro i línies urbanes FGC,2.179282,41.459334,Torre Baró | Vallbona (Sant Feliu de Codines)-,Nou Barris,Torre Baró
Metro i línies urbanes FGC,2.181941,41.392996,Arc de Triomf (Nàpols)-,Eixample,el Fort Pienc
Metro i línies urbanes FGC,2.168511,41.43058,Vilapicina (Teide)-,Nou Barris,el Turó de la Peira
Tramvia,2.192089,41.387575,TRAMVIA (T4) - CIUTADELLA-VILA OLÍMPICA-,Sant Martí,la Vila Olímpica del Poblenou
Metro i línies urbanes FGC,2.175771,41.403899,Sagrada Família (Mallorca - Marina)-,Eixample,la Sagrada Família
Metro i línies urbanes FGC,2.16545,41.392028,Passeig de Gràcia (Aragó / Pau Claris)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.140981,41.417415,Penitents (Anna Piferrer)-,Gràcia,Vallcarca i els Penitents
Metro i línies urbanes FGC,2.174512,41.416048,Guinardó | Hospital de Sant Pau (Sant Quintí)-,Horta-Guinardó,el Guinardó
Metro i línies urbanes FGC,2.173922,41.437645,Llucmajor (Passeig Verdum / Llucmajor)-,Nou Barris,la Guineueta
