name,station_id,latitude,longitude,capacity
"C/ JOAN GÜELL, 50",192,41.3786364,2.1335494,21
"C/ FÍGOLS, 1",193,41.3812979,2.1289917,27
"C/ JOAN GÜELL, 98",194,41.3812001,2.1323612,24
"C/ VALLESPIR, 130",195,41.3821371,2.1354149,27
"C/ BERLÍN, 38",196,41.3832609,2.1392662,27
"C/ GELABERT, 1",197,41.3871579,2.1410945,27
"C/ VALLESPIR, 194",198,41.3847113,2.1334379,27
"C/ MEJÍA LEQUERICA, 2",199,41.3819739,2.1268625,27
"C/ JOAN GUELL, 174",200,41.3839045,2.1312876,24
"C/ NUMÀNCIA, 136",201,41.3878061,2.1344218,24
"C/ DE LES CORTS, 20",202,41.3854466,2.1288753,27
"AV. DIAGONAL, 668",203,41.3887069,2.1285766,33
"AV. DIAGONAL, 664",204,41.3880355,2.1256247999999998,33
"C/ EUROPA, 25",205,41.387561,2.1306737,33
"AV. DIAGONAL, 650",206,41.3897943,2.1328634,33
"AV. DIAGONAL, 634",207,41.3908477,2.1365790000000002,23
"AV. DIAGONAL, 630",208,41.3915195,2.1390667,32
"C/ DIPUTACIÓ, 200",209,41.3857425,2.1610515,26
"C/ VILARDELL, 18",210,41.3745238,2.1422556,31
"C/ SANCHO DE ÁVILA, 60-64",211,41.3987543,2.1902116,27
"AV. SARRIÀ, 163",212,41.3922355,2.1309272,24
"C/ SANTA FE DE NOU MÈXIC, 2",213,41.3935816,2.1345892,32
"C/ JOSÉ DE  AGULLÓ, 9",214,41.3952027,2.1334873,25
"C/ GANDUXER, 29",215,41.3939378,2.1380304,21
"C/ MADRAZO, 131",216,41.3967824,2.1445567,27
"C/ RECTOR UBACH, 24",217,41.3985735,2.1440826,27
"C/ CONSELL DE CENT, 566",218,41.4040364,2.183145,39
"C/ LAFORJA, 74-76",219,41.3976165,2.1471724,26
"C/ TUSET, 19",220,41.3960982,2.1513154,27
"GRAN DE GRÀCIA, 155 (METRO FONTANA)",221,41.4025392,2.1524704,24
"C/ DEL CANÓ, 1",222,41.4013296,2.1574439,27
"C/ DE BONAVISTA, 14",223,41.3983444,2.1598243,36
"C / GIRONA, 176",224,41.3999967,2.1644531,26
"C/ MALLORCA, 84",225,41.3850278,2.1510385,23
"C/ MONTMANY, 1",226,41.4035608,2.1609344999999998,27
"C/ DEL TORRENT DE LES FLORS, 102",227,41.4078456,2.1586704,18
"PL. DEL NORD, 5",228,41.4068417,2.1558354,21
"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREIN",229,41.4050968,2.1569161,27
"C/ DE NIL FABRA, 16-20",230,41.4059356,2.1517977,26
"C/ PAU ALSINA, 54",231,41.4092005,2.16400285,24
"C/ VILÀ I VILÀ, 45",232,41.3733857,2.1709545,27
"C/ NOU DE LA RAMBLA, 164",233,41.3719688,2.1667829,27
"PG. DE L´EXPOSICIÓ, 30 /BLASCO GARAY",234,41.3714688,2.1629627,27
"AV. PARAL.LEL, 98",235,41.3751767,2.1658972,31
"AV. PARAL.LEL, 194",236,41.3751161,2.1523091,26
"C/ RIUS I TAULET, 4",237,41.3727426,2.1539198,27
"C/ ESPRONCEDA, 298",238,41.4158807,2.1908473,27
"C/ INDÚSTRIA, 329",239,41.4172922,2.1844769,27
"C/ JOSEP ESTIVILL, 32",240,41.4175595,2.1877153,27
"C/ TEODOR LLORENTE, 1",241,41.419178,2.18018,33
"C/ RAMON ALBÓ, 1",242,41.4244527,2.1773157,27
"C/ ALEXANDRE GALÍ, 1-5",243,41.4239719,2.1812399,25
"C/ FELIP II, 214",244,41.426925,2.1786224,27
"LA RAMBLA, 101",245,41.3826647,2.1717083,27
"C/ GARCILASO, 77",246,41.4228449,2.1866363,18
"C/ FELIPE II, 112",247,41.4219291,2.1849107,32
"C/ PALÈNCIA, 31",248,41.4182129,2.1904005,27
"C/ ANTILLES, 8",249,41.4250835,2.1872818,27
"C/ PORTUGAL, 3",250,41.4258248,2.191206,27
"C/ CARDENAL TEDESCHINI, 13",251,41.4253643,2.1852073,33
"RAMBLA DE L'ONZE DE SETEMBRE, 31",252,41.4298991,2.1932159,31
"C/ ONZE DE SETEMBRE, 37-39",253,41.4298614,2.1922011,27
"RAMBLA DE L'ONZE DE SETEMBRE, 69",254,41.4299999,2.190246,26
"C/ IRLANDA, 11-21",255,41.4314061,2.1857498,18
"C/ MALATS, 28-30",256,41.4361251,2.1894423,30
"C/ SANT ADRIÀ, 2-8",257,41.433934,2.1896502,24
"C/ FERNANDO PESSOA, 41",258,41.4420913,2.1928992,27
"C/ DE BARTRINA, 14",259,41.4391174,2.1858025,24
"CARRER DEL CINCA, 7",260,41.4356895,2.1920873,26
"C/ VILLARROEL, 39",261,41.3821314,2.1606534,32
"C/ ENTENÇA, 70",262,41.3790954665734,2.151621008371199,24
"PG. TORRAS I BAGES, 29",263,41.4378773,2.1910691,20
"C/REPÚBLICA DOMINICANA,25(CENTRE COMERC",264,41.439929,2.1970692,32
"C/ CASANOVA, 55",265,41.3847738,2.1592566,27
"C/ CONCEPCIÓ ARENAL, 176",266,41.4268952,2.1842572,27
"PG. TORRAS I BAGES, 129",267,41.4433647,2.1906302,24
"C/ FERNANDO PESSOA, 72",268,41.4457195,2.1929816,27
"VIA BARCINO, 121",269,41.448152,2.19294,23
"CRTA. DE RIBES, 77 (TRINITAT VELLA)",270,41.4486328,2.1898372,26
"VIA BARCINO, 69",271,41.4506081,2.1923629,21
"C/ CONCEPCIÓ ARENAL, 281",272,41.4325013,2.1842021,27
AV.MERID/PG. FABRA I PUIG,273,41.4304126,2.1834174,36
"RAMBLA FABRA I PUIG, 67",274,41.4299201,2.1849813,32
"AV. RIO DE JANEIRO, 3",275,41.43068,2.1821802,32
PLAÇA ALFONS X EL SAVI / RONDA DEL GUIN,276,41.4121345,2.1652216,27
"TRAVESSERA DE GRÀCIA, 328",277,41.4082107,2.1689962,27
"TRAVESSERA DE GRÀCIA, 368",278,41.4098842,2.1715285,27
"C/ MAS CASANOVAS, 137",279,41.4158995,2.1745567,27
"C/ SANT ANTONI Mª CLARET, 290-296",280,41.4138664,2.1777274,27
"C/ D'ESCORNALBOU, 51",281,41.4180789,2.1763994,24
"PG. FONT D´EN- FARGAS, 1",282,41.4275514,2.1659881,27
"C/ FULTON, 1",283,41.4297231,2.1617032,20
"AV. DIAGONAL, 652",284,41.389462,2.1314948,27
"C/ MALATS, 98-100",285,41.4366708,2.186105,15
"C/ BOLÍVIA, 76",286,41.4030225,2.1913538,15
"GRAN VIA DE LES CORTS CATALANES, 632",287,41.3890626,2.1679313000000002,16
PL. VIRREI AMAT,288,41.4296439,2.174444,31
"C/ MÚRCIA, 64",289,41.4166982,2.1909952,27
"PL. DELS JARDINS D'ALFÀBIA, 1",290,41.4373376,2.1740962,17
"C/ CUBELLES, 2",291,41.426078,2.1751572,27
"C/ AMILCAR, 1",292,41.4300161,2.1720191,12
"C/ GRANOLLERS, 1",293,41.4283127,2.1629889,24
SEU DEL DISTRICTE (NOU BARRIS),294,41.4363473,2.1706752,24
"C/ SANT ISCLE, 60",295,41.433384,2.1716309,27
"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",296,41.4364887,2.1841014,33
"C/ TURÓ BLAU, 1-3",297,41.4388223,2.1767828,24
"C/ ANDREU NIN, 22",298,41.4347233,2.1817718,33
"C/ DE L'ESCULTOR ORDÓÑEZ, 55",299,41.4340849,2.1748267,27
"C/ DE MALADETA, 1",300,41.4315843,2.1769107,18
"C/ MARIE CURIE, 8-14",301,41.4366871,2.1693134,27
"C/ CAVALLERS, 41",302,41.3906352,2.111541,32
"C/ CAVALLERS, 67",303,41.3934324,2.115107,27
"PG. MANUEL GIRONA, 7",304,41.39038,2.121,26
"AV. DIAGONAL, 680",305,41.3875297,2.1237141,27
"C/ DOCTOR SALVADOR CARDENAL, 1-5",306,41.3853868,2.122893,31
C/ PINTOR RIBALTA / AV. XILE,307,41.3791986,2.1135824,31
"C/ CARDENAL REIG, 11",308,41.37684,2.114029,27
"C/ SANT RAMON NONAT,  26",309,41.3770199,2.1169828,22
C/ JOSEP SAMITIER / JOAN XXIII,310,41.3812111,2.1190863,27
"C/ GALLEGO, 2",311,41.3785631,2.1202487,24
"C/ ARIZALA, 77",312,41.3789061,2.1233038,36
"C/ FELIU DE CASANOVA, 1",313,41.3754188,2.1297823,29
"RAMBLA DEL BRASIL, 44",314,41.3783067,2.1297303,24
"C/ DEL GUINARDÓ, 32-38",315,41.4156285,2.1817876,27
"C/ CANTÀBRIA, 55",316,41.4224015,2.198071,26
"RAMBLA DE PRIM, 256",317,41.4256626,2.2008632,26
"C/ CASTILLEJOS, 388",318,41.412427,2.170592,32
"C/ SAGUÉS, 1",319,41.3937414,2.1455022,31
"VÍA AUGUSTA, 109",320,41.401136,2.1479824,27
"C/ SANT HERMENEGILD, 30",321,41.4031529,2.1445843,27
"C/ SANTALÓ, 165",322,41.4009,2.13892,24
"C/ VALLMAJOR, 13",323,41.3981616,2.1386719,27
"C/ REINA VICTORIA, 31",324,41.3969455,2.136346,27
"C/ ALT DE GIRONELLA, 13",325,41.3949601,2.1302775,23
"C/ BALMES, 409",326,41.4074131,2.1381069,32
"C/ REUS, 23",327,41.4050074,2.134603,24
"C/ ARTESA DE SEGRE, 2",328,41.402988,2.1344691,27
"C/ DE LES ESCOLES PIES, 99",329,41.4029965,2.1283866,26
"C/ PAU ALCOVER, 94",330,41.401883,2.131524,27
"C/ CASTELLNOU, 65",331,41.3970497,2.1279409,31
"C/ DOCTOR ROUX, 86",332,41.3998981,2.1281922,27
"PASSATGE DE SENILLOSA, 3-5",333,41.3954723,2.1250451,27
"VIA AUGUSTA, 348",334,41.4006765,2.1232926,26
"C/ SANTA AMÈLIA, 2",335,41.3935355,2.1231228,27
"C/ CAPONATA, 10",336,41.3953855,2.1210928,27
"C/ CARME KARR, 12-14",337,41.3986238,2.1204941,23
"AV. J. V. FOIX,  63",338,41.3977227,2.1194557,35
"C/ RAMON TURRÓ, 246",339,41.4017084,2.2053803,26
"C/ SANT ADRIÀ, 113",340,41.4361782,2.2047037,24
"PG. D'ENRIC SANCHIS, 33",341,41.4339212,2.2062245,27
"C/ ROC BORONAT, 134",342,41.4034967,2.1936584,27
CAMPANA DE LA MAQUINISTA (SAO PAULO I P,343,41.4389609,2.1996179,27
"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",344,41.4431441,2.1996045,27
PL. TERESA DE CLARAMUNT/C/ DELS FERROCA,345,41.3631066,2.1398322,32
"PG. ZONA FRANCA, 182",346,41.360798,2.138931,34
"C/ ALTS FORNS, 77",347,41.3595484,2.1417765,32
JARDINS DE CAN FERRERO/PG.DE LA ZONA FR,348,41.357067,2.141563,33
"C/ DE L'ENERGIA, 2 / ALTS FORNS",349,41.3573288,2.1371996,33
"C/ VILLARROEL, 208",350,41.392052,2.1480223,30
"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",351,41.3621232,2.1356187,33
"C/RADI,10/GRAN VIA DE LES CORTS CATALA",352,41.363279,2.1341586,28
C/ MUNNÉ  2-6,353,41.37541,2.1232547,31
"RAMBLA DEL BRASIL, 5",354,41.3759419,2.1299539,27
"C/ RIERA BLANCA, 123",355,41.371459,2.127854,21
"C/ CAMÈLIES, 73",356,41.4134503,2.1631012,27
"C/ CARDENER, 59",357,41.4105956,2.1579897,27
"C/ GOMBAU, 24",358,41.3872437,2.1793035,25
"C/ MÉNDEZ NÚÑEZ, 16",359,41.3900544,2.1775594,26
"C/ BAILÉN, 62",360,41.3952527,2.1730023,30
PG. DE COLOM (LES RAMBLES),361,41.37652,2.17881,32
"C/ BAILÉN, 100",362,41.396994,2.1706323,32
"C/ BRUC, 20",363,41.3908381,2.1743743,24
"PG. DE GRÀCIA, 61",364,41.393062,2.1633226,33
"C/ VILADOMAT, 244",365,41.3875712,2.1469336,31
"LA RAMBLA, 75",366,41.3811389,2.1729755,18
"C/ MARQUÈS DE SENTMENAT, 46",367,41.384972,2.1376205,32
"C/ DIPUTACIÓ, 373",368,41.3968391,2.1756598,27
"C/ CONSELL DE CENT, 482",369,41.40013,2.1780175,27
"C/ SARDENYA, 326",370,41.4039698,2.1729061,32
"C/ DELS ENAMORATS, 49",371,41.4040525,2.181199,36
"C/ RIBES, 77",372,41.4001015,2.1841711,27
"AV. PARAL.LEL, 132",373,41.3750995,2.1613897,29
"PG. DE GRÀCIA, 89",374,41.3949729,2.1612814,33
WORLD TRADE CENTER,375,41.3720293,2.1804468,39
WORLD  TRADE CENTER,376,41.3718728,2.180302,39
PL. ICTÍNEO,377,41.3776292,2.1836886,29
"PL. JOAQUIM XIRAU I PALAU, 1",378,41.3785379,2.1767427,21
"AV. JOSEP TARRADELLAS, 27",379,41.3829333,2.1420704,21
"C/ DURAN I BAS, 2",380,41.3854094,2.1740155,24
"C/ AGUSTÍ DURAN I SANPERE, 10",381,41.3816139,2.1677697,41
"C/ LOPE DE VEGA, 79",382,41.4038902,2.2041137,27
"C/ NUMÀNCIA, 2",383,41.381219,2.141767,24
"C/ VILAMARÍ, 85",384,41.3807072,2.1468381,26
"C/ CASANOVA, 119",385,41.387888,2.1552902,30
AV. PARAL.LEL 164,386,41.3751866,2.1568773,18
"C/ NÀPOLS, 125",387,41.3957813,2.1787074,31
"C/ RIERA ALTA, 6",388,41.3806411,2.1671611,35
RECINTE PARC DE LA CIUTADELLA,389,41.3873901,2.1875446,27
"C/ COMERÇ, 36",390,41.3869612,2.1820169,25
"C/ GRAN DE LA SAGRERA, 74",391,41.4230551,2.1913753,27
"C/ RAMON TURRÓ, 4",392,41.3905303,2.1906339,19
"C/ LLACUNA, 86",393,41.4022657,2.1976297,31
"C/ DIPUTACIÓ, 226",394,41.3873057,2.1631263,27
"PL. CATALUNYA, 22",395,41.3860607,2.1702467,33
"C/ JOAN MIRÓ, 2-12",396,41.3890253,2.1968267,32
AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPI,397,41.3889129,2.1993105,27
PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ,398,41.380955,2.1934636,35
"C/ PAVIA, 3",399,41.3734706,2.1332694,27
MOLL ORIENTAL,400,41.3694508,2.1879597,43
PL. ANTONIO LÓPEZ ( VIA LAIETANA),401,41.381276,2.181845,23
PG. DE COLOM (VIA LAIETANA),402,41.380628,2.1821917,31
"C/ VALLESPIR, 49",403,41.3796421,2.1368202,22
"C/ JUAN GRIS, 28",404,41.3653426,2.1331357,32
"C/ COMTE BORRELL, 198",405,41.3854003,2.1521802,26
"GRAN VIA DE LES CORTS CATALANES, 592",406,41.3863747,2.1646697,32
"C/ RAMON TRIAS FARGAS, 23",408,41.3889972,2.1923283,39
"C/ JOAN D'ÀUSTRIA, 31B",409,41.392384,2.1925059,27
PG.DE COLOM (LES RAMBLES),410,41.376433,2.17871,38
"C/ JOSEP PLA, 67",411,41.411381,2.2122054,24
"PL. URQUINAONA, 3",412,41.3893094,2.1727457,27
"C/ BRUC, 66",413,41.393489,2.1707419,32
"C/ CASP, 67",414,41.3937234,2.1764275,32
"RAMBLA DEL RAVAL, 13",415,41.3793558,2.1689592,24
"RAMBLA DEL RAVAL, 20",416,41.3781065,2.1696744,27
"C/ VILLAR, 2",417,41.4164824,2.1801094,32
