name,latitude,longitude,type,geometry
Gran Via - Ildefons Cerdà,41.365826,2.13656,"{'typepoint': {'type': 'Point', 'coordinates': [41.365826, 2.13656]}}",POINT (2.13656 41.365826)
Escorial - Clínica Nostra Senyora del Remei,41.409804,2.159031,"{'typepoint': {'type': 'Point', 'coordinates': [41.409804, 2.159031]}}",POINT (2.159031 41.409804)
Via Favència - Trinitat Nova,41.446825,2.184214,"{'typepoint': {'type': 'Point', 'coordinates': [41.446825, 2.184214]}}",POINT (2.184214 41.446825)
Bac de Roda - Cristóbal de Moura,41.408152,2.203269,"{'typepoint': {'type': 'Point', 'coordinates': [41.408152, 2.203269]}}",POINT (2.203269 41.408152)
Rambla Prim - Cristóbal de Moura,41.416156,2.21244,"{'typepoint': {'type': 'Point', 'coordinates': [41.416156, 2.21244]}}",POINT (2.21244 41.416156)
Can Caralleu,41.401969,2.11163,"{'typepoint': {'type': 'Point', 'coordinates': [41.401969, 2.11163]}}",POINT (2.11163 41.401969)
Camí de Can Caralleu - Ronda de Dalt,41.401837,2.114363,"{'typepoint': {'type': 'Point', 'coordinates': [41.401837, 2.114363]}}",POINT (2.114363 41.401837)
Pg  Zona Franca - Cisell,41.354396,2.142976,"{'typepoint': {'type': 'Point', 'coordinates': [41.354396, 2.142976]}}",POINT (2.142976 41.354396)
Pg  Zona Franca - Motors,41.351695,2.145339,"{'typepoint': {'type': 'Point', 'coordinates': [41.351695, 2.145339]}}",POINT (2.145339 41.351695)
Via Augusta - Calvet,41.39772,2.139095,"{'typepoint': {'type': 'Point', 'coordinates': [41.39772, 2.139095]}}",POINT (2.139095 41.39772)
Floridablanca - Av Mistral,41.376577,2.156056,"{'typepoint': {'type': 'Point', 'coordinates': [41.376577, 2.156056]}}",POINT (2.156056 41.376577)
Calàbria - Floridablanca,41.378211,2.157088,"{'typepoint': {'type': 'Point', 'coordinates': [41.378211, 2.157088]}}",POINT (2.157088 41.378211)
Gran Via - Calàbria,41.38012,2.155512,"{'typepoint': {'type': 'Point', 'coordinates': [41.38012, 2.155512]}}",POINT (2.155512 41.38012)
Mallorca - Viladomat,41.384497,2.150058,"{'typepoint': {'type': 'Point', 'coordinates': [41.384497, 2.150058]}}",POINT (2.150058 41.384497)
París - Viladomat,41.387722,2.145493,"{'typepoint': {'type': 'Point', 'coordinates': [41.387722, 2.145493]}}",POINT (2.145493 41.387722)
Paral·lel - Marquès de Campo Sagrado,41.375096,2.16372,"{'typepoint': {'type': 'Point', 'coordinates': [41.375096, 2.16372]}}",POINT (2.16372 41.375096)
Via Laietana - Comtal,41.387092,2.174463,"{'typepoint': {'type': 'Point', 'coordinates': [41.387092, 2.174463]}}",POINT (2.174463 41.387092)
Indústria - Independència,41.412607,2.178475,"{'typepoint': {'type': 'Point', 'coordinates': [41.412607, 2.178475]}}",POINT (2.178475 41.412607)
Pg de Sant Joan - Còrsega,41.401504,2.167162,"{'typepoint': {'type': 'Point', 'coordinates': [41.401504, 2.167162]}}",POINT (2.167162 41.401504)
Casanova - Hospital Clínic,41.390439,2.152571,"{'typepoint': {'type': 'Point', 'coordinates': [41.390439, 2.152571]}}",POINT (2.152571 41.390439)
Padilla - Rosselló,41.407334,2.175125,"{'typepoint': {'type': 'Point', 'coordinates': [41.407334, 2.175125]}}",POINT (2.175125 41.407334)
Josep Tarradellas - Rosselló,41.382888,2.142701,"{'typepoint': {'type': 'Point', 'coordinates': [41.382888, 2.142701]}}",POINT (2.142701 41.382888)
Torrent de l'Olla - Penedès,41.400915,2.158727,"{'typepoint': {'type': 'Point', 'coordinates': [41.400915, 2.158727]}}",POINT (2.158727 41.400915)
Torrent de l'Olla - Còrsega,41.398688,2.160995,"{'typepoint': {'type': 'Point', 'coordinates': [41.398688, 2.160995]}}",POINT (2.160995 41.398688)
Independència - Freser,41.410809,2.179503,"{'typepoint': {'type': 'Point', 'coordinates': [41.410809, 2.179503]}}",POINT (2.179503 41.410809)
